source_id,effective_from,sequence,page_number,incoming_symbol,outgoing_symbol,raw_cells_json
review_2021_h2,2022-07-15,16,2,JOPP,NETSOL,"[""16"", ""JOPP"", """", ""Johnson & Phillips (Pakistan) Ltd"", """", ""NETSOL"", """", ""NetSol Technologies Ltd."", """"]"
review_2021_h2,2022-07-15,17,2,KOHP,NRSL,"[""17"", ""KOHP"", """", ""Kohinoor Power Company"", """", ""NRSL"", """", ""Nimir Resins Limited."", """"]"
review_2021_h2,2022-07-15,18,2,MIRKS,PICT,"[""18"", ""MIRKS"", """", ""Mirpurkhas Sugar Mills Ltd."", """", ""PICT"", """", ""Pakistan Int.Container Terminal."", """"]"
review_2021_h2,2022-07-15,19,2,NESTLE,PTC,"[""19"", ""NESTLE"", """", ""Nestle Pakistan Ltd"", """", ""PTC"", """", ""Pakistan Telecommunication Co."", """"]"
review_2021_h2,2022-07-15,20,2,OCTOPUS,QUICE,"[""20"", ""OCTOPUS"", """", ""Octopus Digital Limited"", """", ""QUICE"", """", ""Quice Food Industries Ltd. [ DEFAULTER SEGMENT ]"", """"]"
review_2021_h2,2022-07-15,21,2,PABC,SKRS,"[""21"", ""PABC"", """", ""Pakistan Aluminium Beverage Cans Limited"", """", ""SKRS"", """", ""Sakrand Sugar Mills Ltd. [ DEFAULTER SEGMENT ]"", """"]"
review_2021_h2,2022-07-15,22,2,PAKD,TATM,"[""22"", ""PAKD"", """", ""Pak DataCom Ltd."", """", ""TATM"", """", ""Tata Textile Mills Ltd."", """"]"
review_2021_h2,2022-07-15,23,2,PMRS,TRIPF,"[""23"", ""PMRS"", """", ""Premier Sugar Mills Ltd"", """", ""TRIPF"", """", ""Tri-Pack Films Ltd."", """"]"
review_2021_h2,2022-07-15,24,2,PTL,UCAPM,"[""24"", ""PTL"", """", ""Panther Tyres Limited"", """", ""UCAPM"", """", ""Unicap Modaraba. [ DEFAULTER SEGMENT ]"", """"]"
review_2021_h2,2022-07-15,25,2,SAPT,ZAHID,"[""25"", ""SAPT"", """", ""Sapphire Textile Mills"", """", ""ZAHID"", """", ""Zahidjee Textile Mills Ltd."", """"]"
review_2021_h2,2022-07-15,26,2,SHSML,,"[""26"", ""SHSML"", """", ""Shahmurad Sugar Mills Ltd"", """", """", """", """", """"]"
review_2021_h2,2022-07-15,27,2,SINDM,,"[""27"", ""SINDM"", """", ""Sindh Modaraba"", """", """", """", """", """"]"
review_2021_h2,2022-07-15,28,2,SSOM,,"[""28"", ""SSOM"", """", ""S.S. Oil Mills Ltd"", """", """", """", """", """"]"
review_2021_h2,2022-07-15,29,2,TICL,,"[""29"", ""TICL"", """", ""Thal Industries Corp"", """", """", """", """", """"]"
review_2021_h2,2022-07-15,30,2,YOUW,,"[""30"", ""YOUW"", """", ""Yousaf Weaving Mills Ltd"", """", """", """", """", """"]"
review_2022_h1,2023-01-12,1,2,AGSML,HUBC,"[""1"", """", """", ""AGSML"", """", ""Abdullah Shah Ghazi Sugar Mills Ltd"", """", ""HUBC"", """", ""Hub Power Company Ltd."", """"]"
review_2022_h1,2023-01-12,2,2,ASTL,INKL,"[""2"", """", """", ""ASTL"", """", ""Amreli Steels Ltd"", """", ""INKL"", """", ""International Knitwear Ltd."", """"]"
review_2022_h1,2023-01-12,3,2,ATBA,KOHP,"[""3"", """", """", ""ATBA"", """", ""Atlas Battery Ltd"", """", ""KOHP"", """", ""Kohinoor Power Co Ltd."", """"]"
review_2022_h1,2023-01-12,4,2,CPHL,KOIL,"[""4"", """", """", ""CPHL"", """", ""Citi Pharma Ltd"", """", ""KOIL"", """", ""Kohinoor Industries Ltd."", """"]"
review_2022_h1,2023-01-12,5,2,EPQL,MIRKS,"[""5"", """", """", ""EPQL"", """", ""Engro Powergen Qadirpur Ltd *"", """", ""MIRKS"", """", ""Mirpurkhas Sugar Mills Ltd."", """"]"
review_2022_h1,2023-01-12,6,2,GTYR,OCTOPUS,"[""6"", """", """", ""GTYR"", """", ""General Tyre & Rubber Co. Ltd"", """", ""OCTOPUS"", """", ""Octopus Digital Ltd"", """"]"
review_2022_h1,2023-01-12,7,2,HABSM,PAKD,"[""7"", """", """", ""HABSM"", """", ""Habib Sugar Mills Ltd *"", """", ""PAKD"", """", ""Pak Datacom Ltd."", """"]"
review_2022_h1,2023-01-12,8,2,ILP,PMRS,"[""8"", """", """", ""ILP"", """", ""Interloop Ltd"", """", ""PMRS"", """", ""Premier Sugar Mills & Distille"", """"]"
review_2022_h1,2023-01-12,9,2,JVDC,SAPT,"[""9"", """", """", ""JVDC"", """", ""Javedan Corporation Ltd"", """", ""SAPT"", """", ""Sapphire Textile Mills Ltd."", """"]"
