symbol,effective_from,effective_to,instrument_type,classification_source,classification_confidence,classification_rule,observed_sector,pit_eligible_row_count,c5_loss_contribution,extreme_target_count,review_priority,review_reason
PAKT,2020-01-01,2026-07-10,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0832,415,0.0008501160612962544,0,2,classification_rule_conflict
PASL,2020-01-01,2026-07-10,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0813,516,0.0036135952167306766,70,2,classification_rule_conflict|extreme_c4_target
PASM,2024-05-30,2026-07-10,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0829,0,0.0,18,2,classification_rule_conflict|extreme_c4_target
PCAL,2020-01-01,2026-07-10,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0803,1069,0.00491346750694173,0,2,classification_rule_conflict
PECO,2020-01-01,2026-07-10,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0808,7,0.0,2,2,classification_rule_conflict|extreme_c4_target
PESC1,2020-01-02,2025-12-08,debt_security,observed_sector_rule,low,sector_exact:36,36,9,0.0,0,2,classification_rule_conflict|special_security_entered_pit_universe
PESC2,2020-07-29,2025-12-08,debt_security,observed_sector_rule,low,sector_exact:36,36,0,0.0,0,2,classification_rule_conflict
PGLC,2020-02-10,2026-07-10,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0815,0,0.0,42,2,classification_rule_conflict|extreme_c4_target
PIAHCLA,2024-05-27,2026-07-10,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0813,487,0.005476326738305651,5,2,classification_rule_conflict|extreme_c4_target
PIAHCLB,2024-05-27,2026-07-10,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0813,53,0.00202120223277313,127,2,classification_rule_conflict|extreme_c4_target
PIBTL,2020-01-01,2026-07-10,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0833,1576,0.0066079235253039955,0,2,classification_rule_conflict
PICT,2020-01-01,2026-07-10,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0833,1379,0.010012995581106573,4,2,classification_rule_conflict|extreme_c4_target
PIL,2020-01-01,2026-07-10,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0812,133,0.002062272651245717,55,2,classification_rule_conflict|extreme_c4_target
PIM,2020-01-14,2026-07-10,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0819,0,0.0,24,2,classification_rule_conflict|extreme_c4_target
PINL,2020-01-01,2026-07-10,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0812,108,0.0003208485634409428,6,2,classification_rule_conflict|extreme_c4_target
PIOC,2020-01-01,2026-07-10,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0804,1576,0.006043199805325528,6,2,classification_rule_conflict|extreme_c4_target
PK03TB010623,2023-05-05,2023-05-05,government_security,observed_sector_rule,low,sector_exact:3610,3610,0,0.0,0,2,classification_rule_conflict|short_interval_or_maturity_like_ticker
PK03TB021221,2021-11-17,2021-11-17,government_security,observed_sector_rule,low,sector_exact:3610,3610,0,0.0,0,2,classification_rule_conflict|short_interval_or_maturity_like_ticker
PK03TB040523,2023-04-10,2023-04-20,government_security,observed_sector_rule,low,sector_exact:3610,3610,0,0.0,0,2,classification_rule_conflict|short_interval_or_maturity_like_ticker
PK03TB060423,2023-01-27,2023-04-04,government_security,observed_sector_rule,low,sector_exact:3610,3610,0,0.0,0,2,classification_rule_conflict|short_interval_or_maturity_like_ticker
PK03TB150623,2023-04-03,2023-04-03,government_security,observed_sector_rule,low,sector_exact:3610,3610,0,0.0,0,2,classification_rule_conflict|short_interval_or_maturity_like_ticker
PK03TB150721,2021-05-26,2021-05-26,government_security,observed_sector_rule,low,sector_exact:3610,3610,0,0.0,0,2,classification_rule_conflict|short_interval_or_maturity_like_ticker
PK03TB171122,2022-09-06,2022-09-14,government_security,observed_sector_rule,low,sector_exact:3610,3610,0,0.0,0,2,classification_rule_conflict|short_interval_or_maturity_like_ticker
PK03TB200423,2023-04-05,2023-04-06,government_security,observed_sector_rule,low,sector_exact:3610,3610,0,0.0,0,2,classification_rule_conflict|short_interval_or_maturity_like_ticker
PK03TB200521,2021-03-11,2021-03-11,government_security,observed_sector_rule,low,sector_exact:3610,3610,0,0.0,0,2,classification_rule_conflict|short_interval_or_maturity_like_ticker
PK03TB210422,2022-02-28,2022-02-28,government_security,observed_sector_rule,low,sector_exact:3610,3610,0,0.0,0,2,classification_rule_conflict|short_interval_or_maturity_like_ticker
PK03TB230223,2022-12-14,2022-12-14,government_security,observed_sector_rule,low,sector_exact:3610,3610,0,0.0,0,2,classification_rule_conflict|short_interval_or_maturity_like_ticker
PK03TB240222,2021-12-09,2022-01-06,government_security,observed_sector_rule,low,sector_exact:3610,3610,0,0.0,0,2,classification_rule_conflict|short_interval_or_maturity_like_ticker
PK03TB260123,2022-11-04,2022-11-04,government_security,observed_sector_rule,low,sector_exact:3610,3610,0,0.0,0,2,classification_rule_conflict|short_interval_or_maturity_like_ticker
PK03TB260821,2021-06-09,2021-06-09,government_security,observed_sector_rule,low,sector_exact:3610,3610,0,0.0,0,2,classification_rule_conflict|short_interval_or_maturity_like_ticker
PK03TB280422,2022-02-18,2022-02-18,government_security,observed_sector_rule,low,sector_exact:3610,3610,0,0.0,0,2,classification_rule_conflict|short_interval_or_maturity_like_ticker
